ltla22cd,2011,2021,change
E07000140,57,57.3,0.3
E07000141,61.4,57.8,-3.6
E07000142,57.4,53.3,-4.1
E07000143,57.5,55.7,-1.8
E07000144,59.8,56.6,-3.2
E07000145,52.1,49.7,-2.4
E07000146,55.3,53.7,-1.6
E07000147,50.3,46.7,-3.5
E07000148,56.6,54.4,-2.2
E07000149,59.8,57.8,-2
E07000163,60.5,56.2,-4.3
E07000164,61.7,56.4,-5.4
E07000165,63.6,58.9,-4.7
E07000166,65.6,59.1,-6.5
E07000167,59.8,56,-3.7
E07000168,53.3,50.5,-2.8
E07000169,63.8,61.1,-2.7
E07000170,57.4,56.8,-0.6
E07000171,57.3,56.4,-0.9
E07000172,58.7,56.1,-2.6
E07000173,60,58.2,-1.8
E07000174,56.8,57,0.1
E07000175,58.4,56,-2.4
E07000176,61.5,58.3,-3.2
E07000177,66.3,65.1,-1.3
E07000178,55.4,53.6,-1.8
E07000179,65.3,62.9,-2.4
E07000180,65,63,-2
E07000181,66.9,62.8,-4.1
E07000187,61.1,58,-3.1
E07000188,58.5,57,-1.5
E07000189,59.9,56.3,-3.6
E07000192,60.2,59.3,-1
E07000193,60.1,59,-1.1
E07000194,59.4,57,-2.4
E07000195,56.1,54.9,-1.1
E07000196,59.3,54.3,-5
E07000197,59.7,57.9,-1.8
E07000198,59.1,55.7,-3.4
E07000199,62.5,59.8,-2.6
E07000200,59.4,55.5,-3.8
E07000202,61.2,59.9,-1.3
E07000203,62,58,-4.1
E07000207,63.4,61.6,-1.8
E07000208,63.4,61.8,-1.6
E07000209,62.6,58.5,-4.2
E07000210,61.5,58.5,-3
E07000211,64.8,62.5,-2.2
E07000212,61.5,58.4,-3.1
E07000213,64.6,61.8,-2.8
E07000214,65.4,61.5,-3.9
E07000215,63,60.1,-2.9
E07000216,61.3,58.6,-2.7
E07000217,65.3,63.6,-1.7
E07000218,61.5,58.9,-2.6
E07000219,59.7,58.1,-1.6
E07000220,62.9,63,0.2
E07000221,61.4,58.8,-2.5
E07000222,61.4,59,-2.4
E07000223,58.5,56.3,-2.2
E07000224,54,52.4,-1.5
E07000225,56.6,53.8,-2.8
E07000226,65.9,62.9,-2.9
E07000227,62.6,59.8,-2.8
E07000228,64.6,62.1,-2.5
E07000229,59.3,58,-1.3
E07000234,60.4,58.3,-2.1
E07000235,55.9,53.3,-2.5
E07000236,63.7,60.8,-2.9
E07000237,62.7,60.3,-2.4
E07000238,60.6,57.5,-3.1
E07000239,57.5,54.1,-3.3
E07000240,64.9,62.8,-2.2
E07000241,59,59.6,0.6
E07000242,66,63.2,-2.8
E07000243,64.2,63.8,-0.4
E07000244,54.8,51.5,-3.4
E07000245,63.6,60.5,-3.1
E07000246,58.5,55.8,-2.7
E08000001,56.3,54,-2.3
E08000002,59.8,57.1,-2.7
E08000003,52.9,53.5,0.6
E08000004,55.4,52.5,-2.9
E08000005,54.6,54,-0.6
E08000006,56.8,58.8,2
E08000007,60,58.5,-1.5
E08000008,57.9,57.1,-0.8
E08000009,61.7,59.9,-1.7
E08000010,58.3,57.5,-0.8
E08000011,52.8,55.9,3.1
E08000012,50.8,51.1,0.2
E08000013,55,54.9,-0.1
E08000014,54.2,53.6,-0.6
E08000015,54,53.2,-0.8
E08000016,55.2,55.9,0.7
E08000017,54.9,54.9,0
E08000018,55.4,54.6,-0.8
E08000019,54.3,53,-1.2
E08000021,51.6,50.3,-1.3
E08000022,58.4,56.7,-1.7
E08000023,53.1,51.5,-1.5
E08000024,53.6,51.8,-1.8
E08000025,51.4,49.7,-1.7
E08000026,54.4,54.2,-0.1
E08000027,56.3,55.1,-1.2
E08000028,53.4,53,-0.3
E08000029,58.8,56.1,-2.7
E08000030,52.9,53.1,0.2
E08000031,52.4,53.4,1
E08000032,55,52.5,-2.5
E08000033,59.3,56,-3.3
E08000034,57.4,54.9,-2.5
E08000035,58.1,56.8,-1.3
E08000036,57.3,57.3,-0.1
E08000037,56,54.1,-1.9
E09000001,70.8,66.9,-4
E09000002,54.9,58.5,3.6
E09000003,61.1,60.2,-0.9
E09000004,60,60.2,0.2
E09000005,59.7,58.5,-1.2
E09000006,61.2,61.2,-0.1
E09000007,59.6,57.6,-2
E09000008,61.2,61,-0.2
E09000009,61.5,59.3,-2.2
E09000010,57.1,55.9,-1.1
E09000011,59.4,62.2,2.8
E09000012,61,64.1,3.1
E09000013,65.5,63.4,-2.1
E09000014,61.5,62.2,0.7
E09000015,60.1,59.6,-0.4
E09000016,58.9,59.5,0.6
E09000017,60.3,59,-1.3
E09000018,63,60.7,-2.3
E09000019,61.9,62.6,0.7
E09000020,61.4,56.4,-4.9
E09000021,63.5,62.1,-1.4
E09000022,67.3,68,0.6
E09000023,62.4,64.2,1.8
E09000024,65.5,64.9,-0.6
E09000025,55.8,59.2,3.4
E09000026,58,58.5,0.5
E09000027,66.6,62.6,-4
E09000028,63,65.2,2.2
E09000029,64.5,62.9,-1.6
E09000030,59.4,61.4,2
E09000031,59.8,63.2,3.4
E09000032,70.1,69.6,-0.5
E09000033,60.2,57.3,-2.9
W06000001,53.1,51.1,-2
W06000002,54,52.9,-1.1
W06000003,52.7,50.6,-2.1
W06000004,54,51.8,-2.3
W06000005,60.1,57.9,-2.2
W06000006,58.7,56,-2.6
W06000008,50.8,49.1,-1.7
W06000009,54.6,51.5,-3.1
W06000010,54,52.7,-1.3
W06000011,52.3,50.9,-1.5
W06000012,51.5,50.5,-0.9
W06000013,54,53.6,-0.5
W06000014,57.8,55.8,-2.1
W06000015,56.6,54.1,-2.5
W06000016,52.4,53.3,0.9
W06000018,54.1,54,-0.1
W06000019,49.5,52.2,2.7
W06000020,54.7,54.1,-0.6
W06000021,57.6,54.7,-2.8
W06000022,55.6,57.1,1.5
W06000023,58.7,54.9,-3.9
W06000024,52.7,53.8,1.1
